accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001193125-23-303488,2023-12-27,2023-12-27,2023-12-27T13:00:29.000Z,34,8-K,000-24435,231514648,8.01,XBRL,141614,1,1,,d517550d8k.htm,8-K
0001193125-23-285756,2023-11-30,2023-11-29,2023-11-30T13:47:28.000Z,34,8-K,000-24435,231454062,"1.01,1.02,8.01,9.01",XBRL,481269,1,1,,d618268d8k.htm,8-K
0001193125-23-240932,2023-09-25,2023-09-25,2023-09-25T12:00:52.000Z,34,8-K,000-24435,231273151,8.01,XBRL,141161,1,1,,d390258d8k.htm,8-K
0001193125-23-200633,2023-08-01,2023-08-01,2023-08-01T21:02:52.000Z,34,8-K,000-24435,231132646,"1.01,1.02,9.01",XBRL,468578,1,1,,d512066d8k.htm,8-K
0001193125-23-183313,2023-07-07,2023-07-05,2023-07-07T12:08:58.000Z,34,8-K,000-24435,231075243,5.02,XBRL,141311,1,1,,d542722d8k.htm,8-K
0001193125-23-176793,2023-06-28,2023-06-28,2023-06-28T12:00:30.000Z,34,8-K,000-24435,231049199,8.01,XBRL,141319,1,1,,d520680d8k.htm,8-K
0001193125-23-156662,2023-05-30,2023-05-24,2023-05-30T20:47:09.000Z,34,8-K,000-24435,23977231,"5.02,5.07,9.01",XBRL,315697,1,1,,d492817d8k.htm,8-K
0001193125-23-130703,2023-05-01,2023-05-01,2023-05-01T21:15:08.000Z,34,8-K,000-24435,23875039,"1.01,1.02,9.01",XBRL,414859,1,1,,d474855d8k.htm,8-K
0001193125-23-091616,2023-04-05,2023-04-05,2023-04-05T12:07:29.000Z,34,8-K,000-24435,23801226,8.01,XBRL,141042,1,1,,d486424d8k.htm,8-K
0001193125-23-090347,2023-04-04,2023-03-30,2023-04-04T12:01:53.000Z,34,8-K,000-24435,23795136,5.02,XBRL,141062,1,1,,d471178d8k.htm,8-K
0001193125-23-079839,2023-03-27,2023-03-24,2023-03-27T12:01:00.000Z,34,8-K,000-24435,23761470,"1.02,8.01",XBRL,147395,1,1,,d467124d8k.htm,8-K
0001193125-23-057314,2023-03-02,2023-02-28,2023-03-02T13:01:32.000Z,34,8-K,000-24435,23696472,8.01,XBRL,142735,1,1,,d473928d8k.htm,8-K
0001193125-23-022753,2023-02-02,2023-02-02,2023-02-02T21:16:03.000Z,34,8-K,000-24435,23581105,"2.02,9.01",XBRL,479510,1,1,,d455424d8k.htm,8-K
0001193125-23-009591,2023-01-18,2023-01-17,2023-01-17T22:33:35.000Z,34,8-K,000-24435,23532363,"7.01,9.01",XBRL,166993,1,1,,d411935d8k.htm,8-K
0001193125-22-313098,2022-12-28,2022-12-28,2022-12-28T13:01:56.000Z,34,8-K,000-24435,221491651,8.01,XBRL,145674,1,1,,d398241d8k.htm,8-K
0001193125-22-247427,2022-09-20,2022-09-20,2022-09-20T12:00:54.000Z,34,8-K,000-24435,221252088,8.01,XBRL,140681,1,1,,d355455d8k.htm,8-K
0001193125-22-242015,2022-09-09,2022-09-09,2022-09-09T20:35:33.000Z,34,8-K,000-24435,221236582,"1.01,9.01",XBRL,421066,1,1,,d359209d8k.htm,8-K
0001193125-22-235480,2022-09-01,2022-08-31,2022-09-01T00:23:01.000Z,34,8-K,000-24435,221219301,8.01,XBRL,141592,1,1,,d318438d8k.htm,8-K
0001193125-22-184423,2022-06-29,2022-06-29,2022-06-29T12:01:58.000Z,34,8-K,000-24435,221051821,8.01,XBRL,140688,1,1,,d374401d8k.htm,8-K
0001193125-22-165191,2022-06-01,2022-05-25,2022-06-01T20:16:04.000Z,34,8-K,000-24435,22987532,5.07,XBRL,154018,1,1,,d311673d8k.htm,8-K
0001193125-22-095632,2022-04-05,2022-04-05,2022-04-05T12:00:35.000Z,34,8-K,000-24435,22805234,8.01,XBRL,140159,1,1,,d292215d8k.htm,8-K
0001193125-22-087494,2022-03-29,2022-03-23,2022-03-29T12:38:03.000Z,34,8-K,000-24435,22777538,"1.01,2.03,8.01,9.01",XBRL,468435,1,1,,d312252d8k.htm,8-K
0001193125-22-024607,2022-02-01,2022-02-01,2022-02-01T21:16:07.000Z,34,8-K,000-24435,22579126,"2.02,9.01",XBRL,488397,1,1,,d302790d8k.htm,8-K
0001193125-22-024027,2022-02-01,2022-02-01,2022-02-01T13:00:54.000Z,34,8-K,000-24435,22576921,8.01,XBRL,140989,1,1,,d275576d8k.htm,8-K
0001193125-21-369767,2021-12-30,2021-12-30,2021-12-30T13:01:54.000Z,34,8-K,000-24435,211530623,8.01,XBRL,142133,1,1,,d261142d8k.htm,8-K
0001193125-21-352140,2021-12-09,2021-12-09,2021-12-09T13:01:30.000Z,34,8-K,000-24435,211480309,8.01,XBRL,143131,1,1,,d270832d8k.htm,8-K
0001193125-21-341815,2021-11-29,2021-11-29,2021-11-29T13:00:35.000Z,34,8-K,000-24435,211452953,8.01,XBRL,143226,1,1,,d191335d8k.htm,8-K
0001193125-21-318432,2021-11-03,2021-11-01,2021-11-03T20:15:30.000Z,34,8-K,000-24435,211375551,5.02,XBRL,144294,1,1,,d244202d8k.htm,8-K
0001193125-21-270915,2021-09-13,2021-09-13,2021-09-13T12:01:04.000Z,34,8-K,000-24435,211248654,8.01,XBRL,142576,1,1,,d232429d8k.htm,8-K
0001193125-21-254529,2021-08-24,2021-08-24,2021-08-24T12:23:02.000Z,34,8-K,000-24435,211198522,8.01,XBRL,142709,1,1,,d384256d8k.htm,8-K
0001193125-21-189600,2021-06-14,2021-06-14,2021-06-14T13:35:02.000Z,34,8-K,000-24435,211013584,"1.01,2.03,8.01,9.01",XBRL,1677424,1,1,,d148411d8k.htm,8-K
0001193125-21-185538,2021-06-08,2021-06-07,2021-06-08T21:21:02.000Z,34,8-K,000-24435,211003063,"8.01,9.01",XBRL,174238,1,1,,d183783d8k.htm,8-K
0001193125-21-183788,2021-06-07,2021-06-07,2021-06-07T12:30:33.000Z,34,8-K,000-24435,21998332,8.01,XBRL,144808,1,1,,d47054d8k.htm,8-K
0001193125-21-179845,2021-06-02,2021-05-26,2021-06-02T20:06:39.000Z,34,8-K,000-24435,21989137,5.07,XBRL,161146,1,1,,d779294d8k.htm,8-K
0001193125-21-164617,2021-05-18,2021-05-18,2021-05-18T12:00:32.000Z,34,8-K,000-24435,21933910,8.01,XBRL,141732,1,1,,d167554d8k.htm,8-K
0001193125-21-159855,2021-05-13,2021-05-13,2021-05-13T12:00:31.000Z,34,8-K,000-24435,21917266,8.01,XBRL,141799,1,1,,d540617d8k.htm,8-K
0001193125-21-112475,2021-04-12,2021-04-11,2021-04-12T12:00:54.000Z,34,8-K,000-24435,21819424,8.01,XBRL,143023,1,1,,d148123d8k.htm,8-K
0001193125-21-105625,2021-04-05,2021-04-05,2021-04-05T12:00:31.000Z,34,8-K,000-24435,21803750,8.01,XBRL,141039,1,1,,d113059d8k.htm,8-K
0001193125-21-078715,2021-03-12,2021-03-12,2021-03-12T13:00:33.000Z,34,8-K,000-24435,21735463,8.01,XBRL,141712,1,1,,d154639d8k.htm,8-K
0001193125-21-070446,2021-03-05,2021-03-05,2021-03-05T13:01:31.000Z,34,8-K,000-24435,21716573,8.01,XBRL,141028,1,1,,d145869d8k.htm,8-K
0001193125-21-062322,2021-03-01,2021-03-01,2021-03-01T12:59:54.000Z,34,8-K,000-24435,21693855,8.01,XBRL,140735,1,1,,d103788d8k.htm,8-K
0001193125-21-048555,2021-02-19,2021-02-19,2021-02-19T15:31:55.000Z,34,8-K,000-24435,21652690,"1.01,2.03,3.02,8.01,9.01",XBRL,937284,1,1,,d130600d8k.htm,8-K
0001193125-21-045792,2021-02-17,2021-02-16,2021-02-17T12:37:00.000Z,34,8-K,000-24435,21642657,"8.01,9.01",XBRL,178232,1,1,,d119477d8k.htm,8-K
0001193125-21-025369,2021-02-02,2021-02-02,2021-02-02T13:41:00.000Z,34,8-K,000-24435,21579146,8.01,XBRL,141067,1,1,,d124926d8k.htm,8-K
0001193125-21-020760,2021-01-28,2021-01-28,2021-01-28T21:06:01.000Z,34,8-K,000-24435,21564995,"2.02,9.01",XBRL,441340,1,1,,d92691d8k.htm,8-K
0001193125-21-014227,2021-01-22,2021-01-22,2021-01-22T13:37:54.000Z,34,8-K,000-24435,21543800,8.01,XBRL,141056,1,1,,d113711d8k.htm,8-K
0001193125-20-315971,2020-12-11,2020-12-11,2020-12-11T21:57:31.000Z,34,8-K,000-24435,201384115,"1.01,2.03,3.02,8.01,9.01",XBRL,958539,1,1,,d225117d8k.htm,8-K
0001193125-20-313349,2020-12-09,2020-12-07,2020-12-09T12:34:01.000Z,34,8-K,000-24435,201376887,"8.01,9.01",XBRL,179185,1,1,,d55072d8k.htm,8-K
0001193125-20-310787,2020-12-04,2020-12-04,2020-12-04T22:26:54.000Z,34,8-K,000-24435,201370751,8.01,XBRL,141430,1,1,,d22733d8k.htm,8-K
0001193125-20-245835,2020-09-15,2020-09-14,2020-09-15T12:25:31.000Z,34,8-K,000-24435,201174760,8.01,XBRL,141218,1,1,,d42524d8k.htm,8-K
0001193125-20-244732,2020-09-14,2020-09-11,2020-09-14T12:05:02.000Z,34,8-K,000-24435,201172328,8.01,XBRL,141364,1,1,,d937119d8k.htm,8-K
0001193125-20-215604,2020-08-11,2020-08-11,2020-08-11T11:12:54.000Z,34,8-K,000-24435,201091040,"8.01,9.01",XBRL,185095,1,1,,d921849d8k.htm,8-K
0001193125-20-187416,2020-07-06,2020-07-03,2020-07-06T13:01:02.000Z,34,8-K,000-24435,201012282,5.02,XBRL,145327,1,1,,d20923d8k.htm,8-K
0001193125-20-158478,2020-06-02,2020-05-27,2020-06-02T20:13:03.000Z,34,8-K,000-24435,20937102,5.07,XBRL,168407,1,1,,d909158d8k.htm,8-K
0001193125-20-016957,2020-01-28,2020-01-28,2020-01-28T21:16:40.000Z,34,8-K,000-24435,20554419,"2.02,9.01",XBRL,428842,1,1,,d878605d8k.htm,8-K
0001193125-19-295687,2019-11-19,2019-11-18,2019-11-19T22:16:04.000Z,34,8-K,000-24435,191232143,5.02,XBRL,143472,1,1,,d10677d8k.htm,8-K
0001193125-19-280519,2019-10-31,2019-10-29,2019-10-31T20:39:10.000Z,34,8-K,000-24435,191184125,"2.02,9.01",XBRL,217251,1,1,,d828170d8k.htm,8-K
0001193125-19-277996,2019-10-29,2019-10-29,2019-10-30T00:11:27.000Z,34,8-K,000-24435,191177043,"5.02,9.01",XBRL,153746,1,1,,d826279d8k.htm,8-K
0001193125-19-190145,2019-07-08,2019-07-01,2019-07-08T12:45:56.000Z,34,8-K,000-24435,19944272,5.02,8-K,18530,0,0,,d774093d8k.htm,8-K
0001193125-19-175320,2019-06-18,2019-06-18,2019-06-18T12:30:32.000Z,34,8-K,000-24435,19902701,"8.01,9.01",8-K,63694,0,0,,d724928d8k.htm,8-K
0001193125-19-165047,2019-06-04,2019-05-29,2019-06-04T20:12:55.000Z,34,8-K,000-24435,19876732,5.07,8-K,26105,0,0,,d620427d8k.htm,FORM 8-K
0001193125-19-083643,2019-03-22,2019-03-18,2019-03-22T20:51:03.000Z,34,8-K,000-24435,19700444,"5.02,9.01",8-K,77636,0,0,,d695099d8k.htm,FORM 8-K
0001193125-19-020834,2019-01-29,2019-01-29,2019-01-29T21:18:05.000Z,34,8-K,000-24435,19548904,"2.02,9.01",8-K,236686,0,0,,d635078d8k.htm,8-K
0001193125-18-214272,2018-07-09,2018-07-02,2018-07-09T12:45:34.000Z,34,8-K,000-24435,18943470,5.02,8-K,15258,0,0,,d709069d8k.htm,8-K
0001193125-18-207608,2018-06-28,2018-06-22,2018-06-28T20:09:25.000Z,34,8-K,000-24435,18925452,5.02,8-K,16387,0,0,,d852449d8k.htm,8-K
0001193125-18-184481,2018-06-05,2018-05-30,2018-06-05T20:21:05.000Z,34,8-K,000-24435,18881386,5.07,8-K,26039,0,0,,d597038d8k.htm,8-K
0001193125-18-106890,2018-04-04,2018-03-29,2018-04-04T12:47:02.000Z,34,8-K,000-24435,18735933,5.02,8-K,21906,0,0,,d512506d8k.htm,FORM 8-K
0001193125-18-082301,2018-03-14,2018-03-09,2018-03-14T20:06:04.000Z,34,8-K,000-24435,18689511,5.02,8-K,15252,0,0,,d548182d8k.htm,FORM 8-K
